model,fold,seed,n_test,MAE,MedAE,RMSE,MSE,R2,r,bias,p90,failed
ResnetAge,1,2,756,5.4706,3.6908,7.9402,63.0472,0.9084,0.9534,-0.2442,12.6828,0
ResnetAge,2,0,756,5.3227,3.8992,7.4226,55.0944,0.9199,0.9596,-0.5599,11.6715,0
ResnetAge,2,1,756,5.0011,3.2036,7.4565,55.5992,0.9192,0.959,-0.4925,12.3656,0
ResnetAge,2,2,756,5.5663,4.1836,7.9549,63.2804,0.908,0.9532,-0.4829,12.7308,0
ResnetAge,3,0,756,5.1199,3.499,7.3863,54.5571,0.9207,0.9599,-0.4361,11.4853,0
ResnetAge,3,1,756,5.0528,3.5292,7.3899,54.6103,0.9206,0.9603,-0.6826,12.0938,0
ResnetAge,3,2,756,5.4182,3.3794,7.9961,63.9382,0.9071,0.953,-0.622,13.7869,0
ResnetAge,4,0,756,6.22,4.3426,8.759,76.7193,0.8885,0.9432,-0.4393,14.5157,0
ResnetAge,4,1,756,5.1655,3.5005,7.4316,55.2289,0.9197,0.9598,-0.8104,12.0145,0
ResnetAge,4,2,756,4.9753,3.4012,7.2997,53.2855,0.9225,0.9607,-0.3116,11.6455,0
